GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|A|All establishments|001|All firms|||2002|Reference year 2002|771305||886801038||100||376090052||91150153||7243505|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|A|All establishments|804|4 largest firms|||2002|Reference year 2002|1901||34302205||3.9||10975556||2905935||167753|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|A|All establishments|808|8 largest firms|||2002|Reference year 2002|3102||56639167||6.4||19040244||4839660||284867|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|A|All establishments|820|20 largest firms|||2002|Reference year 2002|6027||98017327||11.1||35209381||8943965||613490|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|A|All establishments|850|50 largest firms|||2002|Reference year 2002|15215||143811855||16.2||51909473||13490809||985689|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|A|All establishments|001|All firms|||2002|Reference year 2002|771305||886801038||100||376090052||91150153||7243505|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|A|All establishments|804|4 largest firms|||2002|Reference year 2002|1901||34302205||3.9||10975556||2905935||167753|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|A|All establishments|808|8 largest firms|||2002|Reference year 2002|3102||56639167||6.4||19040244||4839660||284867|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|A|All establishments|820|20 largest firms|||2002|Reference year 2002|6027||98017327||11.1||35209381||8943965||613490|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|A|All establishments|850|50 largest firms|||2002|Reference year 2002|15215||143811855||16.2||51909473||13490809||985689|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411|Legal services|A|All establishments|001|All firms|||2002|Reference year 2002|179420||182098002||100||69869100||15510151||1160440|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411|Legal services|A|All establishments|804|4 largest firms|||2002|Reference year 2002|41||3359142||1.8||1064662||252912||10152|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411|Legal services|A|All establishments|808|8 largest firms|||2002|Reference year 2002|67||5790486||3.2||1741598||419909||16649|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411|Legal services|A|All establishments|820|20 largest firms|||2002|Reference year 2002|190||11968926||6.6||3714767||933410||38176|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411|Legal services|A|All establishments|850|50 largest firms|||2002|Reference year 2002|530||23262024||12.8||7569702||1825097||77786|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54111|Offices of lawyers|A|All establishments|001|All firms|||2002|Reference year 2002|169120||172863871||100||66761394||14810166||1080428|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54111|Offices of lawyers|A|All establishments|804|4 largest firms|||2002|Reference year 2002|41||3359142||1.9||1064662||252912||10152|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54111|Offices of lawyers|A|All establishments|808|8 largest firms|||2002|Reference year 2002|67||5790486||3.3||1741598||419909||16649|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54111|Offices of lawyers|A|All establishments|820|20 largest firms|||2002|Reference year 2002|190||11968926||6.9||3714767||933410||38176|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|54111|Offices of lawyers|A|All establishments|850|50 largest firms|||2002|Reference year 2002|378||23071323||13.3||7583681||1823831||76364|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541110|Offices of lawyers|A|All establishments|001|All firms|||2002|Reference year 2002|169120||172863871||100||66761394||14810166||1080428|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541110|Offices of lawyers|A|All establishments|804|4 largest firms|||2002|Reference year 2002|41||3359142||1.9||1064662||252912||10152|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541110|Offices of lawyers|A|All establishments|808|8 largest firms|||2002|Reference year 2002|67||5790486||3.3||1741598||419909||16649|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541110|Offices of lawyers|A|All establishments|820|20 largest firms|||2002|Reference year 2002|190||11968926||6.9||3714767||933410||38176|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|541110|Offices of lawyers|A|All establishments|850|50 largest firms|||2002|Reference year 2002|378||23071323||13.3||7583681||1823831||76364|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411101|Offices of lawyers|A|All establishments|001|All firms|||2002|Reference year 2002|166377||170808221||100||65708053||14556989||1054412|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411101|Offices of lawyers|A|All establishments|804|4 largest firms|||2002|Reference year 2002|41||3359142||2||1064662||252912||10152|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411101|Offices of lawyers|A|All establishments|808|8 largest firms|||2002|Reference year 2002|67||5790486||3.4||1741598||419909||16649|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411101|Offices of lawyers|A|All establishments|820|20 largest firms|||2002|Reference year 2002|190||11968926||7||3714767||933410||38176|
01|United States|00|01000US|United States|EC|2002 Economic Census|54|Professional, scientific, and technical services|5411101|Offices of lawyers|A|All establishments|850|50 largest firms|||2002|Reference year 2002|378||23071323||13.5||7583681||1823831||76364|
