GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351012|Ferrous metal sales offices merchant wholesalers|00|Wholesale Trade|001|All firms|||2007|Reference year 2007|3575||48896889||100||1686162||427067||30693|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351012|Ferrous metal sales offices merchant wholesalers|00|Wholesale Trade|804|4 largest firms|||2007|Reference year 2007|28||20066004||41||54282||16179||373|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351012|Ferrous metal sales offices merchant wholesalers|00|Wholesale Trade|808|8 largest firms|||2007|Reference year 2007|36||24638717||50.4||81128||26823||628|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351012|Ferrous metal sales offices merchant wholesalers|00|Wholesale Trade|820|20 largest firms|||2007|Reference year 2007|181||29962103||61.3||196051||57332||2320|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351012|Ferrous metal sales offices merchant wholesalers|00|Wholesale Trade|850|50 largest firms|||2007|Reference year 2007|327||34569027||70.7||420046||110881||5659|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|4235102|Nonferrous metal serv. ctrs. and sales offices merchant wholesale|00|Wholesale Trade|001|All firms|||2007|Reference year 2007|1771||49809733||100||1532554||382428||26060|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|4235102|Nonferrous metal serv. ctrs. and sales offices merchant wholesale|00|Wholesale Trade|804|4 largest firms|||2007|Reference year 2007|13||16378797||32.9||159965||41701||1391|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|4235102|Nonferrous metal serv. ctrs. and sales offices merchant wholesale|00|Wholesale Trade|808|8 largest firms|||2007|Reference year 2007|101||23001139||46.2||370040||96062||4890|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|4235102|Nonferrous metal serv. ctrs. and sales offices merchant wholesale|00|Wholesale Trade|820|20 largest firms|||2007|Reference year 2007|152||31287664||62.8||483943||131198||6422|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|4235102|Nonferrous metal serv. ctrs. and sales offices merchant wholesale|00|Wholesale Trade|850|50 largest firms|||2007|Reference year 2007|304||38198684||76.7||717445||196962||10267|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351021|Nonferrous metal service centers merchant wholesalers|00|Wholesale Trade|001|All firms|||2007|Reference year 2007|1079||39272421||100||1260540||312603||20723|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351021|Nonferrous metal service centers merchant wholesalers|00|Wholesale Trade|804|4 largest firms|||2007|Reference year 2007|43||14750148||37.6||222041||57146||2893|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351021|Nonferrous metal service centers merchant wholesalers|00|Wholesale Trade|808|8 largest firms|||2007|Reference year 2007|82||19706230||50.2||356171||91553||4525|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351021|Nonferrous metal service centers merchant wholesalers|00|Wholesale Trade|820|20 largest firms|||2007|Reference year 2007|122||25805968||65.7||449828||124653||5794|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351021|Nonferrous metal service centers merchant wholesalers|00|Wholesale Trade|850|50 largest firms|||2007|Reference year 2007|254||31293407||79.7||650688||175516||9302|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351022|Nonferrous metal sales offices merchant wholesalers|00|Wholesale Trade|001|All firms|||2007|Reference year 2007|692||10537312||100||272014||69825||5337|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351022|Nonferrous metal sales offices merchant wholesalers|00|Wholesale Trade|804|4 largest firms|||2007|Reference year 2007|11||5950099||56.5||15381||4200||160|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351022|Nonferrous metal sales offices merchant wholesalers|00|Wholesale Trade|808|8 largest firms|||2007|Reference year 2007|31||7005572||66.5||74723||22141||1142|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351022|Nonferrous metal sales offices merchant wholesalers|00|Wholesale Trade|820|20 largest firms|||2007|Reference year 2007|65||8100429||76.9||112529||31699||1693|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42351022|Nonferrous metal sales offices merchant wholesalers|00|Wholesale Trade|850|50 largest firms|||2007|Reference year 2007|122||9272732||88||153269||41525||2331|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42352|Coal and other mineral and ore merchant wholesalers|00|Wholesale Trade|001|All firms|||2007|Reference year 2007|479||17845079||100||402439||85936||4427|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42352|Coal and other mineral and ore merchant wholesalers|00|Wholesale Trade|804|4 largest firms|||2007|Reference year 2007|7||5502856||30.8||30872||7014||238|
01|United States|00|01000US|United States|EC|Economic Census|42|Wholesale trade|42352|Coal and other mineral and ore merchant wholesalers|00|Wholesale Trade|808|8 largest firms|||2007|Reference year 2007|17||8368744||46.9||93490||16486||1071|
