GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|53|Real estate & rental & leasing|001|All firms|||2002|Reference year 2002|322815||335587706||100||60222584||14454050||1948657|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|53|Real estate & rental & leasing|804|4 largest firms|||2002|Reference year 2002|5938||21817110||6.5||3673897||881133||144984|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|53|Real estate & rental & leasing|808|8 largest firms|||2002|Reference year 2002|9050||35030488||10.4||5074880||1230450||178992|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|53|Real estate & rental & leasing|820|20 largest firms|||2002|Reference year 2002|20103||57519363||17.1||7763161||1893999||271518|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|53|Real estate & rental & leasing|850|50 largest firms|||2002|Reference year 2002|26672||81971220||24.4||11561680||2824566||357579|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|531|Real estate|001|All firms|||2002|Reference year 2002|256086||223563114||100||41656938||9980245||1304841|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|531|Real estate|804|4 largest firms|||2002|Reference year 2002|4072||10462289||4.7||1006630||260754||28228|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|531|Real estate|808|8 largest firms|||2002|Reference year 2002|5191||15273244||6.8||1947233||494460||46003|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|531|Real estate|820|20 largest firms|||2002|Reference year 2002|6545||25317843||11.3||3605764||909954||73922|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|531|Real estate|850|50 largest firms|||2002|Reference year 2002|10812||36200986||16.2||4990699||1275296||110137|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|5311|Lessors of real estate|001|All firms|||2002|Reference year 2002|113201||116240519||100||13211071||3213530||509454|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|5311|Lessors of real estate|804|4 largest firms|||2002|Reference year 2002|3048||7793579||6.7||660039||174291||20430|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|5311|Lessors of real estate|808|8 largest firms|||2002|Reference year 2002|3437||11818393||10.2||1000120||233286||25765|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|5311|Lessors of real estate|820|20 largest firms|||2002|Reference year 2002|5825||17798737||15.3||1459335||355434||39963|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|5311|Lessors of real estate|850|50 largest firms|||2002|Reference year 2002|7543||25742204||22.1||2209806||561971||60534|
01|United States|00|01000US|United States|EC|2002 Economic Census|53|Real estate and rental and leasing|53111|Lessors of residential buildings & dwellings|001|All firms|||2002|Reference year 2002|62308||55295976||100||6643114||1602303||294328|
