GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|TAXIND|TAXIND_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|114784||466451794||100||195949352||47859474||7329811|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|545||20082522||4.3||5438008||1324573||169832|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|720||29800431||6.4||9575858||2339468||283053|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|1131||48671867||10.4||16936562||4185264||529335|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|1563||78442207||16.8||28678240||7005796||880950|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|T|Taxable establishments|1997|Reference year 1997|003|All firms|531069||418602207||100||182256342||40643478||6231768|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|3491||32717027||7.8||11858895||2919997||453600|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|5267||42144042||10.1||16362437||4048158||629370|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|8971||59433974||14.2||22233108||5494968||831218|
01000US|United States|1|United States|62|Health care and social assistance|62|Health care & social assistance|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|15746||78564648||18.8||29639094||7305304||1199244|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|15181||45428453||100||17884218||4393734||669335|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|352||11677243||25.7||2151685||535644||51986|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|514||13515719||29.8||2830721||710312||68086|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|745||16520418||36.4||3978315||995645||94242|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|1008||19846567||43.7||5212865||1301253||124441|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|T|Taxable establishments|1997|Reference year 1997|003|All firms|440200||310012321||100||137979315||30023002||3744279|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|2960||8876053||2.9||3589071||910780||108797|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|4052||15108984||4.9||5765829||1455782||181850|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|8194||25159218||8.1||9787522||2421812||342757|
01000US|United States|1|United States|62|Health care and social assistance|621|Ambulatory health care services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|10698||33421135||10.8||12792228||3161386||420258|
01000US|United States|1|United States|62|Health care and social assistance|6211|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|003|All firms|195449||171629179||100||84976577||17941343||1571145|
01000US|United States|1|United States|62|Health care and social assistance|6211|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|1004||6277059||3.7||2691047||670830||62290|
01000US|United States|1|United States|62|Health care and social assistance|6211|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|1480||7757971||4.5||3350219||833110||81773|
01000US|United States|1|United States|62|Health care and social assistance|6211|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|2034||10457328||6.1||4466386||1104500||103630|
01000US|United States|1|United States|62|Health care and social assistance|6211|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|2958||14272926||8.3||6260798||1512514||137315|
01000US|United States|1|United States|62|Health care and social assistance|62111|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|003|All firms|195449||171629179||100||84976577||17941343||1571145|
01000US|United States|1|United States|62|Health care and social assistance|62111|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|1004||6277059||3.7||2691047||670830||62290|
01000US|United States|1|United States|62|Health care and social assistance|62111|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|1480||7757971||4.5||3350219||833110||81773|
01000US|United States|1|United States|62|Health care and social assistance|62111|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|2034||10457328||6.1||4466386||1104500||103630|
01000US|United States|1|United States|62|Health care and social assistance|62111|Offices of physicians|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|2958||14272926||8.3||6260798||1512514||137315|
01000US|United States|1|United States|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|T|Taxable establishments|1997|Reference year 1997|003|All firms|185094||168251883||100||83482128||17623619||1536459|
01000US|United States|1|United States|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|1003||6276995||3.7||2690987||670815||62287|
01000US|United States|1|United States|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|1475||7745403||4.6||3343195||830837||81408|
01000US|United States|1|United States|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|2020||10433976||6.2||4452022||1100294||103164|
01000US|United States|1|United States|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|2983||14228293||8.5||6240146||1507793||136947|
01000US|United States|1|United States|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|T|Taxable establishments|1997|Reference year 1997|003|All firms|10355||3377296||100||1494449||317724||34686|
01000US|United States|1|United States|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|115||126380||3.7||50561||10887||945|
01000US|United States|1|United States|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|128||176528||5.2||76927||17733||1503|
01000US|United States|1|United States|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|157||269473||8||123462||29551||2894|
01000US|United States|1|United States|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|228||404124||12||189511||44949||4280|
01000US|United States|1|United States|62|Health care and social assistance|6212|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|003|All firms|114178||48482037||100||18226762||3965506||641674|
01000US|United States|1|United States|62|Health care and social assistance|6212|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|188||321005||.7||114006||26110||3702|
01000US|United States|1|United States|62|Health care and social assistance|6212|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|427||435169||.9||157204||35660||5305|
01000US|United States|1|United States|62|Health care and social assistance|6212|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|601||678479||1.4||260999||60551||7979|
01000US|United States|1|United States|62|Health care and social assistance|6212|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|828||1005147||2.1||393329||89956||11581|
01000US|United States|1|United States|62|Health care and social assistance|62121|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|003|All firms|114178||48482037||100||18226762||3965506||641674|
01000US|United States|1|United States|62|Health care and social assistance|62121|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|188||321005||.7||114006||26110||3702|
01000US|United States|1|United States|62|Health care and social assistance|62121|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|427||435169||.9||157204||35660||5305|
01000US|United States|1|United States|62|Health care and social assistance|62121|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|601||678479||1.4||260999||60551||7979|
01000US|United States|1|United States|62|Health care and social assistance|62121|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|828||1005147||2.1||393329||89956||11581|
01000US|United States|1|United States|62|Health care and social assistance|621210|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|003|All firms|114178||48482037||100||18226762||3965506||641674|
01000US|United States|1|United States|62|Health care and social assistance|621210|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|188||321005||.7||114006||26110||3702|
01000US|United States|1|United States|62|Health care and social assistance|621210|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|427||435169||.9||157204||35660||5305|
01000US|United States|1|United States|62|Health care and social assistance|621210|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|601||678479||1.4||260999||60551||7979|
01000US|United States|1|United States|62|Health care and social assistance|621210|Offices of dentists|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|828||1005147||2.1||393329||89956||11581|
01000US|United States|1|United States|62|Health care and social assistance|6213|Offices of other health practitioners|T|Taxable establishments|1997|Reference year 1997|003|All firms|88886||28282299||100||10456729||2365863||406589|
01000US|United States|1|United States|62|Health care and social assistance|6213|Offices of other health practitioners|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|583||1867950||6.6||1042949||242077||27703|
01000US|United States|1|United States|62|Health care and social assistance|6213|Offices of other health practitioners|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|848||2385209||8.4||1243856||289379||32467|
01000US|United States|1|United States|62|Health care and social assistance|6213|Offices of other health practitioners|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|1453||3129594||11.1||1557653||361591||41979|
01000US|United States|1|United States|62|Health care and social assistance|6213|Offices of other health practitioners|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|1904||3769971||13.3||1871858||435803||51279|
01000US|United States|1|United States|62|Health care and social assistance|62131|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|003|All firms|30487||6570083||100||1886173||418611||91700|
01000US|United States|1|United States|62|Health care and social assistance|62131|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|34||45794||.7||15103||3530||570|
01000US|United States|1|United States|62|Health care and social assistance|62131|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|62||72145||1.1||21732||5079||784|
01000US|United States|1|United States|62|Health care and social assistance|62131|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|103||120490||1.8||45698||9675||1419|
01000US|United States|1|United States|62|Health care and social assistance|62131|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|187||198893||3||75076||16160||2095|
01000US|United States|1|United States|62|Health care and social assistance|621310|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|003|All firms|30487||6570083||100||1886173||418611||91700|
01000US|United States|1|United States|62|Health care and social assistance|621310|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|34||45794||.7||15103||3530||570|
01000US|United States|1|United States|62|Health care and social assistance|621310|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|62||72145||1.1||21732||5079||784|
01000US|United States|1|United States|62|Health care and social assistance|621310|Offices of chiropractors|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|103||120490||1.8||45698||9675||1419|
