GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|COMPANY|COMPANY_F|RCPTOT|RCPTOT_F|CCORCPPCT|CCORCPPCT_F|VSHERFI|VSHERFI_F 
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31171|Seafood product preparation and packaging|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|26.2||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31171|Seafood product preparation and packaging|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|38.2||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31171|Seafood product preparation and packaging|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|58.2||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31171|Seafood product preparation and packaging|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|75.6||287.1|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311711|Seafood canning|004|All companies|||2007|Reference year 2007|83||1032130||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311711|Seafood canning|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|58.1||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311711|Seafood canning|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|78.9||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311711|Seafood canning|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|95.9||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311711|Seafood canning|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|99.2||1254.9|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311712|Fresh and frozen seafood processing|004|All companies|||2007|Reference year 2007|481||10040738||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311712|Fresh and frozen seafood processing|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|28.3||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311712|Fresh and frozen seafood processing|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|41||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311712|Fresh and frozen seafood processing|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|59.9||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311712|Fresh and frozen seafood processing|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|76.6||319|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|3118|Bakeries and tortilla manufacturing|004|All companies|||2007|Reference year 2007|9548||55486846||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|3118|Bakeries and tortilla manufacturing|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|22.4||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|3118|Bakeries and tortilla manufacturing|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|36.4||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|3118|Bakeries and tortilla manufacturing|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|52.2||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|3118|Bakeries and tortilla manufacturing|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|65.3||210|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31181|Bread and bakery product manufacturing|004|All companies|||2007|Reference year 2007|8558||34313285||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31181|Bread and bakery product manufacturing|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|30.3||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31181|Bread and bakery product manufacturing|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|41.6||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31181|Bread and bakery product manufacturing|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|53.3||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31181|Bread and bakery product manufacturing|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|65.1||295.1|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311811|Retail bakeries|004|All companies|||2007|Reference year 2007|6101||3390206||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311811|Retail bakeries|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|3.7||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311811|Retail bakeries|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|6||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311811|Retail bakeries|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|9.7||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311811|Retail bakeries|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|15.9||7.3|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311812|Commercial bakeries|004|All companies|||2007|Reference year 2007|2297||25973814||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311812|Commercial bakeries|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|37.3||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311812|Commercial bakeries|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|50.9||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311812|Commercial bakeries|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|63.5||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311812|Commercial bakeries|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|75||451.3|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311813|Frozen cakes, pies, and other pastries manufacturing|004|All companies|||2007|Reference year 2007|206||4949265||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311813|Frozen cakes, pies, and other pastries manufacturing|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|32.4||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311813|Frozen cakes, pies, and other pastries manufacturing|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|50.5||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311813|Frozen cakes, pies, and other pastries manufacturing|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|72||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311813|Frozen cakes, pies, and other pastries manufacturing|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|89.9||406.7|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31182|Cookie, cracker, and pasta manufacturing|004|All companies|||2007|Reference year 2007|694||18582709||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31182|Cookie, cracker, and pasta manufacturing|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|41.8||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31182|Cookie, cracker, and pasta manufacturing|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|53.8||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31182|Cookie, cracker, and pasta manufacturing|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|72.6||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31182|Cookie, cracker, and pasta manufacturing|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|85.8||612.6|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311821|Cookie and cracker manufacturing|004|All companies|||2007|Reference year 2007|303||10756147||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311821|Cookie and cracker manufacturing|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|69.3||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311821|Cookie and cracker manufacturing|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|82.8||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311821|Cookie and cracker manufacturing|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|90.6||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311821|Cookie and cracker manufacturing|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|96.1||1607.2|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311822|Flour mixes and dough manufacturing from purchased flour|004|All companies|||2007|Reference year 2007|240||6294995||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311822|Flour mixes and dough manufacturing from purchased flour|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|35.1||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311822|Flour mixes and dough manufacturing from purchased flour|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|53.1||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311822|Flour mixes and dough manufacturing from purchased flour|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|76.4||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311822|Flour mixes and dough manufacturing from purchased flour|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|89.5||553.2|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311823|Dry pasta manufacturing|004|All companies|||2007|Reference year 2007|155||1531567||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311823|Dry pasta manufacturing|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|62.9||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311823|Dry pasta manufacturing|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|77.3||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311823|Dry pasta manufacturing|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|88.2||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|311823|Dry pasta manufacturing|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|95.8||1209.9|
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31183|Tortilla manufacturing|004|All companies|||2007|Reference year 2007|329||2590852||100||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31183|Tortilla manufacturing|856|4 largest companies|||2007|Reference year 2007|0|X|0|X|57.4||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31183|Tortilla manufacturing|857|8 largest companies|||2007|Reference year 2007|0|X|0|X|65.4||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31183|Tortilla manufacturing|858|20 largest companies|||2007|Reference year 2007|0|X|0|X|76.8||0|X
01|United States|00|01000US|United States|EC|Economic Census|31|Manufacturing|31183|Tortilla manufacturing|859|50 largest companies|||2007|Reference year 2007|0|X|0|X|88.4||1865.2|
