GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71|Arts, entertainment, & recreation|A|All establishments|001|All firms|||2002|Reference year 2002|110313||141904109||100||45169117||10467912||1848674|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71|Arts, entertainment, & recreation|A|All establishments|804|4 largest firms|||2002|Reference year 2002|93||7650772||5.4||1065431||280393||45530|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71|Arts, entertainment, & recreation|A|All establishments|808|8 largest firms|||2002|Reference year 2002|1068||10979228||7.7||1981823||487334||114026|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71|Arts, entertainment, & recreation|A|All establishments|820|20 largest firms|||2002|Reference year 2002|1736||17529176||12.4||3234768||811697||172358|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71|Arts, entertainment, & recreation|A|All establishments|850|50 largest firms|||2002|Reference year 2002|2028||27789688||19.6||5457211||1416176||265707|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|711|Performing arts, spectator sports, & related industries|A|All establishments|001|All firms|||2002|Reference year 2002|37735||58285681||100||21231489||4961796||422533|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|711|Performing arts, spectator sports, & related industries|A|All establishments|804|4 largest firms|||2002|Reference year 2002|66||3933097||6.7||426670||143004||10744|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|711|Performing arts, spectator sports, & related industries|A|All establishments|808|8 largest firms|||2002|Reference year 2002|92||5744917||9.9||806262||262883||18395|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|711|Performing arts, spectator sports, & related industries|A|All establishments|820|20 largest firms|||2002|Reference year 2002|203||9356089||16.1||1621817||487748||42718|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|711|Performing arts, spectator sports, & related industries|A|All establishments|850|50 largest firms|||2002|Reference year 2002|276||14730235||25.3||4484974||1058108||59009|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|7111|Performing arts companies|A|All establishments|001|All firms|||2002|Reference year 2002|9303||10863631||100||3266513||760037||138221|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|7111|Performing arts companies|A|All establishments|804|4 largest firms|||2002|Reference year 2002|20||944081||8.7||213076||46643||4011|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|7111|Performing arts companies|A|All establishments|808|8 largest firms|||2002|Reference year 2002|28||1275648||11.7||321083||71053||5851|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|7111|Performing arts companies|A|All establishments|820|20 largest firms|||2002|Reference year 2002|45||1929877||17.8||471121||105837||9265|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|7111|Performing arts companies|A|All establishments|850|50 largest firms|||2002|Reference year 2002|84||2973445||27.4||793476||181910||17472|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71111|Theater companies & dinner theaters|A|All establishments|001|All firms|||2002|Reference year 2002|3583||5417407||100||1589851||372423||72487|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71111|Theater companies & dinner theaters|A|All establishments|804|4 largest firms|||2002|Reference year 2002|15||690714||12.7||165802||35704||2357|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71111|Theater companies & dinner theaters|A|All establishments|808|8 largest firms|||2002|Reference year 2002|21||920091||17||224417||46974||3574|
01|United States|00|01000US|United States|EC|2002 Economic Census|71|Arts, entertainment, and recreation|71111|Theater companies & dinner theaters|A|All establishments|820|20 largest firms|||2002|Reference year 2002|39||1441085||26.6||360258||80888||8023|
