GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842101|Local used household and office goods moving, without storage|808|8 largest firms|||2007|Reference year 2007|55||298190||13.1||60896||14651||1842|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842101|Local used household and office goods moving, without storage|820|20 largest firms|||2007|Reference year 2007|76||469643||20.6||109829||26224||3193|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842101|Local used household and office goods moving, without storage|850|50 largest firms|||2007|Reference year 2007|126||707289||31||180283||41896||5222|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842102|Long-distance used household and office goods moving|001|All firms|||2007|Reference year 2007|3240||10019046||100||1736558||405460||49853|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842102|Long-distance used household and office goods moving|804|4 largest firms|||2007|Reference year 2007|60||4077607||40.7||179738||47499||3562|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842102|Long-distance used household and office goods moving|808|8 largest firms|||2007|Reference year 2007|112||4592361||45.8||293332||76955||5956|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842102|Long-distance used household and office goods moving|820|20 largest firms|||2007|Reference year 2007|200||5379151||53.7||441410||109923||9462|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842102|Long-distance used household and office goods moving|850|50 largest firms|||2007|Reference year 2007|299||6220703||62.1||651094||159194||14442|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842103|Local used household and office goods moving, with storage|001|All firms|||2007|Reference year 2007|1436||2248244||100||788259||181018||24552|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842103|Local used household and office goods moving, with storage|804|4 largest firms|||2007|Reference year 2007|12||196804||8.8||51365||11959||966|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842103|Local used household and office goods moving, with storage|808|8 largest firms|||2007|Reference year 2007|19||305501||13.6||92740||21517||2084|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842103|Local used household and office goods moving, with storage|820|20 largest firms|||2007|Reference year 2007|61||538625||24||164323||38466||3767|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842103|Local used household and office goods moving, with storage|850|50 largest firms|||2007|Reference year 2007|121||888596||39.5||276341||63966||6843|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|48422|Specialized freight (except used goods) trucking, local|001|All firms|||2007|Reference year 2007|33865||31549198||100||8023711||1795141||224402|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|48422|Specialized freight (except used goods) trucking, local|804|4 largest firms|||2007|Reference year 2007|149||804715||2.6||229131||58711||4913|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|48422|Specialized freight (except used goods) trucking, local|808|8 largest firms|||2007|Reference year 2007|249||1299789||4.1||346137||84130||7760|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|48422|Specialized freight (except used goods) trucking, local|820|20 largest firms|||2007|Reference year 2007|352||2219068||7||613085||147189||13387|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|48422|Specialized freight (except used goods) trucking, local|850|50 largest firms|||2007|Reference year 2007|489||3581867||11.4||973319||232085||20719|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|484220|Specialized freight (except used goods) trucking, local|001|All firms|||2007|Reference year 2007|33865||31549198||100||8023711||1795141||224402|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|484220|Specialized freight (except used goods) trucking, local|804|4 largest firms|||2007|Reference year 2007|149||804715||2.6||229131||58711||4913|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|484220|Specialized freight (except used goods) trucking, local|808|8 largest firms|||2007|Reference year 2007|249||1299789||4.1||346137||84130||7760|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|484220|Specialized freight (except used goods) trucking, local|820|20 largest firms|||2007|Reference year 2007|352||2219068||7||613085||147189||13387|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|484220|Specialized freight (except used goods) trucking, local|850|50 largest firms|||2007|Reference year 2007|489||3581867||11.4||973319||232085||20719|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842201|Local hazardous materials trucking (except waste)|001|All firms|||2007|Reference year 2007|1959||3323932||100||1026004||243245||22579|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842201|Local hazardous materials trucking (except waste)|804|4 largest firms|||2007|Reference year 2007|59||419934||12.6||139699||37244||2536|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842201|Local hazardous materials trucking (except waste)|808|8 largest firms|||2007|Reference year 2007|112||658417||19.8||221014||56009||4235|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842201|Local hazardous materials trucking (except waste)|820|20 largest firms|||2007|Reference year 2007|146||1029412||31||331717||79802||6096|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842201|Local hazardous materials trucking (except waste)|850|50 largest firms|||2007|Reference year 2007|221||1563255||47||489567||116689||9106|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842202|Local agricultural products trucking without storage|001|All firms|||2007|Reference year 2007|7953||4975365||100||1259802||294507||40802|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842202|Local agricultural products trucking without storage|804|4 largest firms|||2007|Reference year 2007|30||217401||4.4||67298||18042||1528|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842202|Local agricultural products trucking without storage|808|8 largest firms|||2007|Reference year 2007|34||338820||6.8||93549||23156||2108|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842202|Local agricultural products trucking without storage|820|20 largest firms|||2007|Reference year 2007|61||557866||11.2||147168||34783||3580|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842202|Local agricultural products trucking without storage|850|50 largest firms|||2007|Reference year 2007|95||892769||17.9||227784||54920||5573|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842203|Dump trucking|001|All firms|||2007|Reference year 2007|17027||15184085||100||3321564||696671||97428|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842203|Dump trucking|804|4 largest firms|||2007|Reference year 2007|25||368623||2.4||85931||19662||1929|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842203|Dump trucking|808|8 largest firms|||2007|Reference year 2007|45||595172||3.9||121531||27058||2679|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842203|Dump trucking|820|20 largest firms|||2007|Reference year 2007|58||1066315||7||215586||46896||4668|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842203|Dump trucking|850|50 largest firms|||2007|Reference year 2007|96||1811234||11.9||355290||77431||8014|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842204|Local specialized trucking without storage|001|All firms|||2007|Reference year 2007|6680||7461327||100||2225092||517030||58961|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842204|Local specialized trucking without storage|804|4 largest firms|||2007|Reference year 2007|158||734533||9.8||180723||41294||4743|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842204|Local specialized trucking without storage|808|8 largest firms|||2007|Reference year 2007|202||1030795||13.8||269337||60459||6275|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842204|Local specialized trucking without storage|820|20 largest firms|||2007|Reference year 2007|274||1564739||21||456272||105990||10011|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842204|Local specialized trucking without storage|850|50 largest firms|||2007|Reference year 2007|365||2324311||31.2||678038||157151||14633|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842205|Local, specialized freight (except used goods) trucking|001|All firms|||2007|Reference year 2007|246||604489||100||191249||43688||4632|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842205|Local, specialized freight (except used goods) trucking|804|4 largest firms|||2007|Reference year 2007|7||90198||14.9||29938||5985||630|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842205|Local, specialized freight (except used goods) trucking|808|8 largest firms|||2007|Reference year 2007|14||158162||26.2||45830||9867||1032|
01|United States|00|01000US|United States|EC|Economic Census|48|Transportation and warehousing|4842205|Local, specialized freight (except used goods) trucking|820|20 largest firms|||2007|Reference year 2007|42||285534||47.2||86118||19428||1826|
