GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|71151|Independent artists, writers, and performers|A|All establishments|001|All firms|||2007|Reference year 2007|20612||12754733||100||5071563||997442||48321|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|71151|Independent artists, writers, and performers|A|All establishments|804|4 largest firms|||2007|Reference year 2007|4||401417||3.1||172102||33881||99|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|71151|Independent artists, writers, and performers|A|All establishments|808|8 largest firms|||2007|Reference year 2007|8||628777||4.9||245046||35303||124|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|71151|Independent artists, writers, and performers|A|All establishments|820|20 largest firms|||2007|Reference year 2007|20||1086448||8.5||423548||40144||161|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|71151|Independent artists, writers, and performers|A|All establishments|850|50 largest firms|||2007|Reference year 2007|51||1839235||14.4||788692||68833||830|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|711510|Independent artists, writers, and performers|A|All establishments|001|All firms|||2007|Reference year 2007|20612||12754733||100||5071563||997442||48321|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|711510|Independent artists, writers, and performers|A|All establishments|804|4 largest firms|||2007|Reference year 2007|4||401417||3.1||172102||33881||99|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|711510|Independent artists, writers, and performers|A|All establishments|808|8 largest firms|||2007|Reference year 2007|8||628777||4.9||245046||35303||124|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|711510|Independent artists, writers, and performers|A|All establishments|820|20 largest firms|||2007|Reference year 2007|20||1086448||8.5||423548||40144||161|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|711510|Independent artists, writers, and performers|A|All establishments|850|50 largest firms|||2007|Reference year 2007|51||1839235||14.4||788692||68833||830|
01|United States|00|01000US|United States|EC|Economic Census|71|Arts, entertainment, and recreation|712|Museums, historical sites, and similar institutions|A|All establishments|001|All firms|||2007|Reference year 2007|7125||13285398||100||3661655||863057||130071|
