GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51|Information|001|All firms|||2002|Reference year 2002|137678||891845956||100||194670163||51062366||3736061|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51|Information|804|4 largest firms|||2002|Reference year 2002|19010||206855121||23.2||38184118||10249481||688096|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51|Information|808|8 largest firms|||2002|Reference year 2002|24364||306515052||34.4||55736008||14528838||936265|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51|Information|820|20 largest firms|||2002|Reference year 2002|32882||432770943||48.5||74640162||19623860||1260209|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51|Information|850|50 largest firms|||2002|Reference year 2002|40838||552558504||62||98011822||25841074||1729358|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|511|Publishing industries (except Internet)|001|All firms|||2002|Reference year 2002|32287||242216369||100||65680724||16673164||1089585|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|511|Publishing industries (except Internet)|804|4 largest firms|||2002|Reference year 2002|328||44425643||18.3||10551021||2252573||91804|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|511|Publishing industries (except Internet)|808|8 largest firms|||2002|Reference year 2002|633||62327688||25.7||12913273||2937331||131836|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|511|Publishing industries (except Internet)|820|20 largest firms|||2002|Reference year 2002|1220||97187822||40.1||20049688||4860643||249761|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|511|Publishing industries (except Internet)|850|50 largest firms|||2002|Reference year 2002|2756||134697176||55.6||29006919||7361689||385141|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|5111|Newspaper, periodical, book, & directory publishers|001|All firms|||2002|Reference year 2002|22334||138710521||100||30745775||7864341||732877|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|5111|Newspaper, periodical, book, & directory publishers|804|4 largest firms|||2002|Reference year 2002|359||18833705||13.6||3252242||899408||73305|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|5111|Newspaper, periodical, book, & directory publishers|808|8 largest firms|||2002|Reference year 2002|658||33904552||24.4||6023657||1599107||127239|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|5111|Newspaper, periodical, book, & directory publishers|820|20 largest firms|||2002|Reference year 2002|1191||62394476||45||10719157||2856676||206320|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|5111|Newspaper, periodical, book, & directory publishers|850|50 largest firms|||2002|Reference year 2002|2612||87159047||62.8||16103284||4246100||335836|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51111|Newspaper publishers|001|All firms|||2002|Reference year 2002|8603||46179063||100||13734533||3407424||401170|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51111|Newspaper publishers|804|4 largest firms|||2002|Reference year 2002|258||14712724||31.9||3827422||969052||88755|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51111|Newspaper publishers|808|8 largest firms|||2002|Reference year 2002|436||20364605||44.1||5444060||1382206||126742|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51111|Newspaper publishers|820|20 largest firms|||2002|Reference year 2002|727||28596731||61.9||7841058||1971932||190585|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|51111|Newspaper publishers|850|50 largest firms|||2002|Reference year 2002|1396||35804592||77.5||10045704||2511457||256877|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|511110|Newspaper publishers|001|All firms|||2002|Reference year 2002|8603||46179063||100||13734533||3407424||401170|
01|United States|00|01000US|United States|EC|2002 Economic Census|51|Information|511110|Newspaper publishers|804|4 largest firms|||2002|Reference year 2002|258||14712724||31.9||3827422||969052||88755|
