GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321201|Truck rental without drivers|808|8 largest firms|||2007|Reference year 2007|2142||2226285||78.1||230956||58265||12229|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321201|Truck rental without drivers|820|20 largest firms|||2007|Reference year 2007|2157||2359222||82.8||258206||62890||12621|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321201|Truck rental without drivers|850|50 largest firms|||2007|Reference year 2007|2194||2507538||88||289657||69325||13340|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321202|Truck leasing|001|All firms|||2007|Reference year 2007|3005||12650873||100||1519073||398196||32736|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321202|Truck leasing|804|4 largest firms|||2007|Reference year 2007|1548||8451288||66.8||949517||254804||19777|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321202|Truck leasing|808|8 largest firms|||2007|Reference year 2007|1554||9043330||71.5||970813||262046||20000|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321202|Truck leasing|820|20 largest firms|||2007|Reference year 2007|1682||9932815||78.5||1091469||292999||22888|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321202|Truck leasing|850|50 largest firms|||2007|Reference year 2007|1853||10855600||85.8||1210975||323358||25447|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321209|Utility trailer and recreational vehicle rental and leasing|001|All firms|||2007|Reference year 2007|340||259265||100||50988||11396||1499|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321209|Utility trailer and recreational vehicle rental and leasing|804|4 largest firms|||2007|Reference year 2007|26||74462||28.7||14329||2461||322|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321209|Utility trailer and recreational vehicle rental and leasing|808|8 largest firms|||2007|Reference year 2007|36||100041||38.6||17630||3124||378|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321209|Utility trailer and recreational vehicle rental and leasing|820|20 largest firms|||2007|Reference year 2007|49||142395||54.9||26207||5748||530|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5321209|Utility trailer and recreational vehicle rental and leasing|850|50 largest firms|||2007|Reference year 2007|81||184989||71.4||33308||7290||755|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5322|Consumer goods rental|001|All firms|||2007|Reference year 2007|32956||24750699||100||5485765||1300408||248464|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5322|Consumer goods rental|804|4 largest firms|||2007|Reference year 2007|13582||10332658||41.7||2120608||525187||108349|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5322|Consumer goods rental|808|8 largest firms|||2007|Reference year 2007|15710||13944369||56.3||2646917||646100||122179|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5322|Consumer goods rental|820|20 largest firms|||2007|Reference year 2007|17128||15956519||64.5||3094307||751143||136655|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|5322|Consumer goods rental|850|50 largest firms|||2007|Reference year 2007|17844||17037809||68.8||3335058||809333||144637|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53221|Consumer electronics and appliances rental|001|All firms|||2007|Reference year 2007|5376||4205836||100||927582||231350||28075|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53221|Consumer electronics and appliances rental|804|4 largest firms|||2007|Reference year 2007|3948||0|D|75.9||0|D|0|D|0|j
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53221|Consumer electronics and appliances rental|808|8 largest firms|||2007|Reference year 2007|4060||3297842||78.4||717433||181673||20587|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53221|Consumer electronics and appliances rental|820|20 largest firms|||2007|Reference year 2007|4222||3474371||82.6||748312||188612||21571|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53221|Consumer electronics and appliances rental|850|50 largest firms|||2007|Reference year 2007|4448||3689849||87.7||797342||200197||23210|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532210|Consumer electronics and appliances rental|001|All firms|||2007|Reference year 2007|5376||4205836||100||927582||231350||28075|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532210|Consumer electronics and appliances rental|804|4 largest firms|||2007|Reference year 2007|3948||0|D|75.9||0|D|0|D|0|j
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532210|Consumer electronics and appliances rental|808|8 largest firms|||2007|Reference year 2007|4060||3297842||78.4||717433||181673||20587|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532210|Consumer electronics and appliances rental|820|20 largest firms|||2007|Reference year 2007|4222||3474371||82.6||748312||188612||21571|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532210|Consumer electronics and appliances rental|850|50 largest firms|||2007|Reference year 2007|4448||3689849||87.7||797342||200197||23210|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53222|Formal wear and costume rental|001|All firms|||2007|Reference year 2007|1997||975859||100||188004||41681||10535|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53222|Formal wear and costume rental|804|4 largest firms|||2007|Reference year 2007|627||536064||54.9||58969||12822||3202|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53222|Formal wear and costume rental|808|8 largest firms|||2007|Reference year 2007|729||580019||59.4||71713||15733||3872|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53222|Formal wear and costume rental|820|20 largest firms|||2007|Reference year 2007|845||655019||67.1||99171||21697||5008|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53222|Formal wear and costume rental|850|50 largest firms|||2007|Reference year 2007|951||729233||74.7||123251||26790||6210|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532220|Formal wear and costume rental|001|All firms|||2007|Reference year 2007|1997||975859||100||188004||41681||10535|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532220|Formal wear and costume rental|804|4 largest firms|||2007|Reference year 2007|627||536064||54.9||58969||12822||3202|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532220|Formal wear and costume rental|808|8 largest firms|||2007|Reference year 2007|729||580019||59.4||71713||15733||3872|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532220|Formal wear and costume rental|820|20 largest firms|||2007|Reference year 2007|845||655019||67.1||99171||21697||5008|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532220|Formal wear and costume rental|850|50 largest firms|||2007|Reference year 2007|951||729233||74.7||123251||26790||6210|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53223|Video tape and disc rental|001|All firms|||2007|Reference year 2007|16237||9262214||100||1732671||423365||128103|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53223|Video tape and disc rental|804|4 largest firms|||2007|Reference year 2007|9893||7165612||77.4||1314241||317485||88902|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53223|Video tape and disc rental|808|8 largest firms|||2007|Reference year 2007|9897||7515803||81.1||1348972||324245||89415|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53223|Video tape and disc rental|820|20 largest firms|||2007|Reference year 2007|10211||7755844||83.7||1388476||334134||93406|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|53223|Video tape and disc rental|850|50 largest firms|||2007|Reference year 2007|10559||7953032||85.9||1428972||344983||97463|
01|United States|00|01000US|United States|EC|Economic Census|53|Real estate and rental and leasing|532230|Video tape and disc rental|001|All firms|||2007|Reference year 2007|16237||9262214||100||1732671||423365||128103|
