GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48-49|Transportation & warehousing|001|All firms|037|Data do not include large certificated passenger carriers that report to the Office of Airline Information, U.S. Department of Transportation.  Railroad transportation and U.S. Postal Service are out of scope.|2002|Reference year 2002|199618||382152040||100||115988733||27721337||3650859|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48-49|Transportation & warehousing|804|4 largest firms|||2002|Reference year 2002|4023||56739713||14.8||16241844||3740011||502855|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48-49|Transportation & warehousing|808|8 largest firms|||2002|Reference year 2002|5856||69998036||18.3||20922870||4798532||600395|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48-49|Transportation & warehousing|820|20 largest firms|||2002|Reference year 2002|8390||96203369||25.2||26071988||6148845||771503|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48-49|Transportation & warehousing|850|50 largest firms|||2002|Reference year 2002|11928||126268038||33||33143350||7937562||955087|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481|Air transportation|001|All firms|001|Data do not include large certificated passenger carriers that report to the Office of Airline Information, U.S. Department of Transportation.|2002|Reference year 2002|3847||19734965||100||3805191||890459||99144|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481|Air transportation|804|4 largest firms|||2002|Reference year 2002|43||4401315||22.3||662733||160749||15981|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481|Air transportation|808|8 largest firms|||2002|Reference year 2002|228||6797228||34.4||1020351||234328||25278|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481|Air transportation|820|20 largest firms|||2002|Reference year 2002|384||9622773||48.8||1400505||323519||33443|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481|Air transportation|850|50 largest firms|||2002|Reference year 2002|758||12818142||65||2144601||498994||52911|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4811|Scheduled air transportation|001|All firms|001|Data do not include large certificated passenger carriers that report to the Office of Airline Information, U.S. Department of Transportation.|2002|Reference year 2002|1665||12156568||100||2281027||533692||67136|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4811|Scheduled air transportation|804|4 largest firms|||2002|Reference year 2002|91||3967475||32.6||628682||154766||17648|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4811|Scheduled air transportation|808|8 largest firms|||2002|Reference year 2002|223||5919941||48.7||886848||201976||23820|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4811|Scheduled air transportation|820|20 largest firms|||2002|Reference year 2002|413||8222490||67.6||1113354||254907||29204|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4811|Scheduled air transportation|850|50 largest firms|||2002|Reference year 2002|873||10389648||85.5||1660158||382471||44627|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48111|Scheduled air transportation|001|All firms|001|Data do not include large certificated passenger carriers that report to the Office of Airline Information, U.S. Department of Transportation.|2002|Reference year 2002|1665||12156568||100||2281027||533692||67136|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48111|Scheduled air transportation|804|4 largest firms|||2002|Reference year 2002|91||3967475||32.6||628682||154766||17648|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48111|Scheduled air transportation|808|8 largest firms|||2002|Reference year 2002|223||5919941||48.7||886848||201976||23820|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48111|Scheduled air transportation|820|20 largest firms|||2002|Reference year 2002|413||8222490||67.6||1113354||254907||29204|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48111|Scheduled air transportation|850|50 largest firms|||2002|Reference year 2002|873||10389648||85.5||1660158||382471||44627|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481111|Scheduled passenger air transportation|001|All firms|001|Data do not include large certificated passenger carriers that report to the Office of Airline Information, U.S. Department of Transportation.|2002|Reference year 2002|1288||8921990||100||1637162||373877||44247|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481111|Scheduled passenger air transportation|804|4 largest firms|||2002|Reference year 2002|123||3001369||33.6||524318||126258||14147|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481111|Scheduled passenger air transportation|808|8 largest firms|||2002|Reference year 2002|241||4598417||51.5||789486||173377||20617|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481111|Scheduled passenger air transportation|820|20 largest firms|||2002|Reference year 2002|480||6573232||73.7||1168921||258993||31191|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481111|Scheduled passenger air transportation|850|50 largest firms|||2002|Reference year 2002|829||8057632||90.3||1405592||314479||37501|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481112|Scheduled freight air transportation|001|All firms|||2002|Reference year 2002|377||3234578||100||643865||159815||22889|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481112|Scheduled freight air transportation|804|4 largest firms|||2002|Reference year 2002|39||2068933||64||237902||62777||6557|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481112|Scheduled freight air transportation|808|8 largest firms|||2002|Reference year 2002|66||2384174||73.7||291222||75565||7854|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481112|Scheduled freight air transportation|820|20 largest firms|||2002|Reference year 2002|118||2732290||84.5||368674||93959||10414|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481112|Scheduled freight air transportation|850|50 largest firms|||2002|Reference year 2002|201||3040751||94||444021||112115||12502|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4812|Nonscheduled air transportation|001|All firms|||2002|Reference year 2002|2182||7578397||100||1524164||356767||32008|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4812|Nonscheduled air transportation|804|4 largest firms|||2002|Reference year 2002|27||1806551||23.8||323295||78399||5583|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4812|Nonscheduled air transportation|808|8 largest firms|||2002|Reference year 2002|32||2401187||31.7||446271||110180||7867|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4812|Nonscheduled air transportation|820|20 largest firms|||2002|Reference year 2002|50||3328759||43.9||633882||155156||11537|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|4812|Nonscheduled air transportation|850|50 largest firms|||2002|Reference year 2002|98||4412112||58.2||825911||197882||15215|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48121|Nonscheduled air transportation|001|All firms|||2002|Reference year 2002|2182||7578397||100||1524164||356767||32008|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48121|Nonscheduled air transportation|804|4 largest firms|||2002|Reference year 2002|27||1806551||23.8||323295||78399||5583|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48121|Nonscheduled air transportation|808|8 largest firms|||2002|Reference year 2002|32||2401187||31.7||446271||110180||7867|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48121|Nonscheduled air transportation|820|20 largest firms|||2002|Reference year 2002|50||3328759||43.9||633882||155156||11537|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|48121|Nonscheduled air transportation|850|50 largest firms|||2002|Reference year 2002|98||4412112||58.2||825911||197882||15215|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481211|Nonscheduled chartered passenger air transportation|001|All firms|||2002|Reference year 2002|1472||5562497||100||1110910||267787||23191|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481211|Nonscheduled chartered passenger air transportation|804|4 largest firms|||2002|Reference year 2002|27||1763392||31.7||339446||82934||5905|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481211|Nonscheduled chartered passenger air transportation|808|8 largest firms|||2002|Reference year 2002|32||2276059||40.9||441731||111268||8173|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481211|Nonscheduled chartered passenger air transportation|820|20 largest firms|||2002|Reference year 2002|52||2924005||52.6||559205||140270||10376|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481211|Nonscheduled chartered passenger air transportation|850|50 largest firms|||2002|Reference year 2002|90||3597311||64.7||676051||167507||12601|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481212|Nonscheduled chartered freight air transportation|001|All firms|||2002|Reference year 2002|245||1164511||100||209884||48647||4449|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481212|Nonscheduled chartered freight air transportation|804|4 largest firms|||2002|Reference year 2002|5||429118||36.8||66397||15273||1233|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481212|Nonscheduled chartered freight air transportation|808|8 largest firms|||2002|Reference year 2002|11||642981||55.2||97712||22476||1886|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481212|Nonscheduled chartered freight air transportation|820|20 largest firms|||2002|Reference year 2002|28||910437||78.2||150902||35128||2762|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481212|Nonscheduled chartered freight air transportation|850|50 largest firms|||2002|Reference year 2002|64||1079257||92.7||187722||43368||3721|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481219|Other nonscheduled air transportation|001|All firms|||2002|Reference year 2002|465||851389||100||203370||40333||4368|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481219|Other nonscheduled air transportation|804|4 largest firms|||2002|Reference year 2002|8||316400||37.2||79828||15148||1383|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481219|Other nonscheduled air transportation|808|8 largest firms|||2002|Reference year 2002|37||405099||47.6||98257||19093||1697|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481219|Other nonscheduled air transportation|820|20 largest firms|||2002|Reference year 2002|53||546415||64.2||132808||25141||2358|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|481219|Other nonscheduled air transportation|850|50 largest firms|||2002|Reference year 2002|93||671275||78.8||161295||30975||2997|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|483|Water transportation|001|All firms|||2002|Reference year 2002|1890||23331333||100||3194391||785824||66153|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|483|Water transportation|804|4 largest firms|||2002|Reference year 2002|30||7683857||32.9||332671||95043||8600|
01|United States|00|01000US|United States|EC|2002 Economic Census|48|Transportation and warehousing|483|Water transportation|808|8 largest firms|||2002|Reference year 2002|117||10031445||43||633738||170818||13823|
