GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81|Other services (except public administration)|A|All establishments|001|All firms|||2002|Reference year 2002|537576||307049461||100||82954939||20132941||3475310|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81|Other services (except public administration)|A|All establishments|804|4 largest firms|||2002|Reference year 2002|5919||0|D|0|D|0|D|0|D|0|l
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81|Other services (except public administration)|A|All establishments|808|8 largest firms|||2002|Reference year 2002|7074||0|D|0|D|0|D|0|D|0|m
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81|Other services (except public administration)|A|All establishments|820|20 largest firms|||2002|Reference year 2002|15897||21823421||7.1||4643697||1147635||199320|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81|Other services (except public administration)|A|All establishments|850|50 largest firms|||2002|Reference year 2002|20095||34315220||11.2||6914066||1729094||286530|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811|Repair & maintenance|A|All establishments|001|All firms|||2002|Reference year 2002|231043||118305746||100||35117838||8547775||1285371|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811|Repair & maintenance|A|All establishments|804|4 largest firms|||2002|Reference year 2002|1677||4448874||3.8||1319330||323199||36630|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811|Repair & maintenance|A|All establishments|808|8 largest firms|||2002|Reference year 2002|1961||6134621||5.2||1885636||477874||48771|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811|Repair & maintenance|A|All establishments|820|20 largest firms|||2002|Reference year 2002|3956||8836823||7.5||2468462||620746||69888|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811|Repair & maintenance|A|All establishments|850|50 largest firms|||2002|Reference year 2002|5372||12434315||10.5||3657784||926381||100885|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|8111|Automotive repair & maintenance|A|All establishments|001|All firms|||2002|Reference year 2002|166821||75219140||100||21592456||5242750||871040|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|8111|Automotive repair & maintenance|A|All establishments|804|4 largest firms|||2002|Reference year 2002|2179||1339162||1.8||348863||81201||12106|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|8111|Automotive repair & maintenance|A|All establishments|808|8 largest firms|||2002|Reference year 2002|3063||2082413||2.8||542551||130795||21785|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|8111|Automotive repair & maintenance|A|All establishments|820|20 largest firms|||2002|Reference year 2002|3967||3426148||4.6||969726||235655||35989|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|8111|Automotive repair & maintenance|A|All establishments|850|50 largest firms|||2002|Reference year 2002|5724||4883558||6.5||1405906||355255||53753|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81111|Automotive mechanical & electrical repair & maintenance|A|All establishments|001|All firms|||2002|Reference year 2002|99851||38382286||100||10513476||2549208||401234|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81111|Automotive mechanical & electrical repair & maintenance|A|All establishments|804|4 largest firms|||2002|Reference year 2002|652||605556||1.6||142887||34779||4076|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81111|Automotive mechanical & electrical repair & maintenance|A|All establishments|808|8 largest firms|||2002|Reference year 2002|1626||894132||2.3||243891||71722||9614|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81111|Automotive mechanical & electrical repair & maintenance|A|All establishments|820|20 largest firms|||2002|Reference year 2002|2001||1304265||3.4||379305||104682||13861|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|81111|Automotive mechanical & electrical repair & maintenance|A|All establishments|850|50 largest firms|||2002|Reference year 2002|2331||1867622||4.9||513842||138923||17574|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811111|General automotive repair|A|All establishments|001|All firms|||2002|Reference year 2002|82766||31747964||100||8587989||2081370||328924|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811111|General automotive repair|A|All establishments|804|4 largest firms|||2002|Reference year 2002|650||603014||1.9||139874||33922||4013|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811111|General automotive repair|A|All establishments|808|8 largest firms|||2002|Reference year 2002|1588||859861||2.7||234817||69750||9410|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811111|General automotive repair|A|All establishments|820|20 largest firms|||2002|Reference year 2002|1848||1223757||3.9||349955||97574||12943|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811111|General automotive repair|A|All establishments|850|50 largest firms|||2002|Reference year 2002|2060||1724810||5.4||470001||129456||16321|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811112|Automotive exhaust system repair|A|All establishments|001|All firms|||2002|Reference year 2002|3620||1239769||100||338349||80960||13854|
01|United States|00|01000US|United States|EC|2002 Economic Census|81|Other services (except public administration)|811112|Automotive exhaust system repair|A|All establishments|804|4 largest firms|||2002|Reference year 2002|74||57344||4.6||15962||3693||520|
