GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62|Health care & social assistance|A|All establishments|001|All firms|||2002|Reference year 2002|704526||1207299734||100||495845829||117558304||15052255|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62|Health care & social assistance|A|All establishments|804|4 largest firms|||2002|Reference year 2002|1076||47492444||3.9||15140750||3709419||423241|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62|Health care & social assistance|A|All establishments|808|8 largest firms|||2002|Reference year 2002|1486||65471636||5.4||21617129||5295558||582628|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62|Health care & social assistance|A|All establishments|820|20 largest firms|||2002|Reference year 2002|3878||109246508||9||38239979||9471809||979578|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62|Health care & social assistance|A|All establishments|850|50 largest firms|||2002|Reference year 2002|11010||177102029||14.7||64185131||15861507||1747001|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621|Ambulatory health care services|A|All establishments|001|All firms|||2002|Reference year 2002|489021||488618528||100||203341237||45895264||4924908|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621|Ambulatory health care services|A|All establishments|804|4 largest firms|||2002|Reference year 2002|266||13485006||2.8||5638284||1426163||104133|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621|Ambulatory health care services|A|All establishments|808|8 largest firms|||2002|Reference year 2002|2942||21788742||4.5||7973024||2004461||166121|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621|Ambulatory health care services|A|All establishments|820|20 largest firms|||2002|Reference year 2002|6791||34479467||7.1||12127716||3060643||274206|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621|Ambulatory health care services|A|All establishments|850|50 largest firms|||2002|Reference year 2002|10779||48874479||10||17847301||4469020||407698|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|6211|Offices of physicians|A|All establishments|001|All firms|||2002|Reference year 2002|203118||248824594||100||112856035||24726758||1908760|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|6211|Offices of physicians|A|All establishments|804|4 largest firms|||2002|Reference year 2002|456||8404331||3.4||3541632||889656||62792|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|6211|Offices of physicians|A|All establishments|808|8 largest firms|||2002|Reference year 2002|906||10740257||4.3||4453213||1113689||80090|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|6211|Offices of physicians|A|All establishments|820|20 largest firms|||2002|Reference year 2002|1640||15323980||6.2||6437056||1598464||106812|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|6211|Offices of physicians|A|All establishments|850|50 largest firms|||2002|Reference year 2002|2738||22376094||9||9237091||2267666||151087|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62111|Offices of physicians|A|All establishments|001|All firms|||2002|Reference year 2002|203118||248824594||100||112856035||24726758||1908760|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62111|Offices of physicians|A|All establishments|804|4 largest firms|||2002|Reference year 2002|456||8404331||3.4||3541632||889656||62792|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62111|Offices of physicians|A|All establishments|808|8 largest firms|||2002|Reference year 2002|906||10740257||4.3||4453213||1113689||80090|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62111|Offices of physicians|A|All establishments|820|20 largest firms|||2002|Reference year 2002|1640||15323980||6.2||6437056||1598464||106812|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|62111|Offices of physicians|A|All establishments|850|50 largest firms|||2002|Reference year 2002|2738||22376094||9||9237091||2267666||151087|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|A|All establishments|001|All firms|||2002|Reference year 2002|192794||244866476||100||111116936||24327837||1868437|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|A|All establishments|804|4 largest firms|||2002|Reference year 2002|456||8404331||3.4||3541632||889656||62792|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|A|All establishments|808|8 largest firms|||2002|Reference year 2002|906||10740257||4.4||4453213||1113689||80090|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|A|All establishments|820|20 largest firms|||2002|Reference year 2002|1631||15309849||6.3||6427003||1595517||106658|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621111|Offices of physicians (except mental health specialists)|A|All establishments|850|50 largest firms|||2002|Reference year 2002|2720||22343025||9.1||9216028||2261882||150741|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|A|All establishments|001|All firms|||2002|Reference year 2002|10324||3958118||100||1739099||398921||40323|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|A|All establishments|804|4 largest firms|||2002|Reference year 2002|13||222851||5.6||70977||16627||740|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|A|All establishments|808|8 largest firms|||2002|Reference year 2002|27||283682||7.2||108819||25468||1756|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|A|All establishments|820|20 largest firms|||2002|Reference year 2002|60||412317||10.4||179374||42282||3436|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|621112|Offices of physicians, mental health specialists|A|All establishments|850|50 largest firms|||2002|Reference year 2002|118||609527||15.4||283809||67909||6007|
01|United States|00|01000US|United States|EC|2002 Economic Census|62|Health care and social assistance|6212|Offices of dentists|A|All establishments|001|All firms|||2002|Reference year 2002|118305||71102922||100||25856163||5774758||743628|
