GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56|Administrative & support & waste management & remediation service|001|All firms|||2002|Reference year 2002|350583||432577580||100||206439329||49239077||8741854|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56|Administrative & support & waste management & remediation service|804|4 largest firms|||2002|Reference year 2002|2109||25820170||6||8528122||2007355||185229|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56|Administrative & support & waste management & remediation service|808|8 largest firms|||2002|Reference year 2002|6477||38955515||9||18131770||4282464||611503|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56|Administrative & support & waste management & remediation service|820|20 largest firms|||2002|Reference year 2002|11697||64346495||14.9||31464071||7512893||1155694|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56|Administrative & support & waste management & remediation service|850|50 largest firms|||2002|Reference year 2002|16922||94702451||21.9||46027823||11043073||1660849|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|561|Administrative & support services|001|All firms|||2002|Reference year 2002|331921||381268304||100||194207071||46324127||8410033|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|561|Administrative & support services|804|4 largest firms|||2002|Reference year 2002|2771||15510379||4.1||10587642||2450302||334229|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|561|Administrative & support services|808|8 largest firms|||2002|Reference year 2002|5636||27252799||7.1||18053923||4248670||655476|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|561|Administrative & support services|820|20 largest firms|||2002|Reference year 2002|10041||48608350||12.7||29530269||7047672||1115584|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|561|Administrative & support services|850|50 largest firms|||2002|Reference year 2002|15336||75420603||19.8||43755297||10463700||1648941|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|5611|Office administrative services|001|All firms|||2002|Reference year 2002|22611||32080759||100||14577949||3542630||366019|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|5611|Office administrative services|804|4 largest firms|||2002|Reference year 2002|692||706408||2.2||95602||23140||3108|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|5611|Office administrative services|808|8 largest firms|||2002|Reference year 2002|773||1140981||3.6||200887||49726||4985|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|5611|Office administrative services|820|20 largest firms|||2002|Reference year 2002|818||2153500||6.7||579678||159476||12107|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|5611|Office administrative services|850|50 largest firms|||2002|Reference year 2002|969||3924412||12.2||1353172||350145||36733|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56111|Office administrative services|001|All firms|||2002|Reference year 2002|22611||32080759||100||14577949||3542630||366019|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56111|Office administrative services|804|4 largest firms|||2002|Reference year 2002|692||706408||2.2||95602||23140||3108|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56111|Office administrative services|808|8 largest firms|||2002|Reference year 2002|773||1140981||3.6||200887||49726||4985|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56111|Office administrative services|820|20 largest firms|||2002|Reference year 2002|818||2153500||6.7||579678||159476||12107|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|56111|Office administrative services|850|50 largest firms|||2002|Reference year 2002|969||3924412||12.2||1353172||350145||36733|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|561110|Office administrative services|001|All firms|||2002|Reference year 2002|22611||32080759||100||14577949||3542630||366019|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|561110|Office administrative services|804|4 largest firms|||2002|Reference year 2002|692||706408||2.2||95602||23140||3108|
01|United States|00|01000US|United States|EC|2002 Economic Census|56|Administrative and support and waste management and remediation services|561110|Office administrative services|808|8 largest firms|||2002|Reference year 2002|773||1140981||3.6||200887||49726||4985|
