GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444|Building material and garden equipment and supplies dealers|001|All firms|||2007|Reference year 2007|91070||318320271||100||37709991||9227156||1331322|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444|Building material and garden equipment and supplies dealers|804|4 largest firms|||2007|Reference year 2007|6837||129266416||40.6||12678677||3280289||540861|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444|Building material and garden equipment and supplies dealers|808|8 largest firms|||2007|Reference year 2007|8757||141842570||44.6||13670786||3536310||570570|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444|Building material and garden equipment and supplies dealers|820|20 largest firms|||2007|Reference year 2007|12273||153350477||48.2||14928438||3844354||607566|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444|Building material and garden equipment and supplies dealers|850|50 largest firms|||2007|Reference year 2007|15064||163227199||51.3||15895103||4090803||638295|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|4441|Building material and supplies dealers|001|All firms|||2007|Reference year 2007|70818||281870986||100||33571408||8337187||1164426|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|4441|Building material and supplies dealers|804|4 largest firms|||2007|Reference year 2007|6837||129266416||45.9||12678677||3280289||540861|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|4441|Building material and supplies dealers|808|8 largest firms|||2007|Reference year 2007|10106||141091910||50.1||13783884||3556564||567611|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|4441|Building material and supplies dealers|820|20 largest firms|||2007|Reference year 2007|11850||150863880||53.5||14795526||3808441||597985|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|4441|Building material and supplies dealers|850|50 largest firms|||2007|Reference year 2007|14000||159302894||56.5||15690937||4040855||624395|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44411|Home centers|001|All firms|||2007|Reference year 2007|6953||134821247||100||13507517||3475071||579442|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44411|Home centers|804|4 largest firms|||2007|Reference year 2007|3789||124933207||92.7||12230609||3169543||531319|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44411|Home centers|808|8 largest firms|||2007|Reference year 2007|3811||125444018||93||12280035||3182308||533023|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44411|Home centers|820|20 largest firms|||2007|Reference year 2007|3984||126309204||93.7||12376064||3205551||537453|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44411|Home centers|850|50 largest firms|||2007|Reference year 2007|4091||127393973||94.5||12512536||3240068||541854|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444110|Home centers|001|All firms|||2007|Reference year 2007|6953||134821247||100||13507517||3475071||579442|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444110|Home centers|804|4 largest firms|||2007|Reference year 2007|3789||124933207||92.7||12230609||3169543||531319|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444110|Home centers|808|8 largest firms|||2007|Reference year 2007|3811||125444018||93||12280035||3182308||533023|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444110|Home centers|820|20 largest firms|||2007|Reference year 2007|3984||126309204||93.7||12376064||3205551||537453|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444110|Home centers|850|50 largest firms|||2007|Reference year 2007|4091||127393973||94.5||12512536||3240068||541854|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44412|Paint and wallpaper stores|001|All firms|||2007|Reference year 2007|7860||10052960||100||1262492||312255||35491|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44412|Paint and wallpaper stores|804|4 largest firms|||2007|Reference year 2007|4199||6004310||59.7||645320||160439||15090|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44412|Paint and wallpaper stores|808|8 largest firms|||2007|Reference year 2007|4624||6937753||69||769640||192846||18709|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44412|Paint and wallpaper stores|820|20 largest firms|||2007|Reference year 2007|4909||7405433||73.7||831086||207632||20635|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44412|Paint and wallpaper stores|850|50 largest firms|||2007|Reference year 2007|5142||7751554||77.1||881201||220101||22054|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444120|Paint and wallpaper stores|001|All firms|||2007|Reference year 2007|7860||10052960||100||1262492||312255||35491|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444120|Paint and wallpaper stores|804|4 largest firms|||2007|Reference year 2007|4199||6004310||59.7||645320||160439||15090|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444120|Paint and wallpaper stores|808|8 largest firms|||2007|Reference year 2007|4624||6937753||69||769640||192846||18709|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444120|Paint and wallpaper stores|820|20 largest firms|||2007|Reference year 2007|4909||7405433||73.7||831086||207632||20635|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|444120|Paint and wallpaper stores|850|50 largest firms|||2007|Reference year 2007|5142||7751554||77.1||881201||220101||22054|
01|United States|00|01000US|United States|EC|Economic Census|44|Retail trade|44413|Hardware stores|001|All firms|||2007|Reference year 2007|16454||20130557||100||3160537||746689||143738|
